mandarin,japanese
嗨。,行け。
你好。,行きなさい。
你用跑的。,こんにちは。
等等！,やっほー。
你好。,こんにちは！
让我来。,走れ。
我赢了。,走って！
不会吧。,誰？
乾杯!,すごい！
你懂了吗？,ワォ！
他跑了。,わぉ！
跳进来。,火事だ！
我迷失了。,火事！
我退出。,撃て！
我沒事。,助けて！
听着。,飛び越えろ！
不可能！,跳べ！
没门！,飛び降りろ！
你确定？,飛び跳ねて！
试试吧。,ジャンプして！
我们来试试。,跳べ！
为什么是我？,飛び跳ねて！
去问汤姆。,ジャンプして！
冷静点。,やめろ！
公平点。,止まれ！
友善点。,待って！
和气点。,続けて。
联系我。,進んで。
联系我们。,進め。
进来。,続けろ。
找到汤姆。,こんにちは。
滾出去！,もしもし。
出去！,こんにちは！
走開！,急げ！
滾！,なるほど。
走開！,なるほどね。
再见！,わかった。
告辞！,わかりました。
等一下！,そうですか。
他来了。,そうなんだ。
他跑。,そっか。
帮我一下。,頑張ってみる。
帮帮我们吧！,やってみる。
坚持。,試してみる。
抱抱汤姆！,やってみよう！
我同意。,トライしてみる。
我生病了。,俺の勝ちー！
我老了。,勝ったぁ！
没关系。,勝ったぞ！
是我。,私の勝ち！
来加入我们吧。,私が勝ち！
留着吧。,なんてこった！
吻我。,なんてことだ！
完美！,しまった！
再见！,あー、しまった！
閉嘴！,うわ、しまった！
不管它。,何てことだ！
拿走吧。,落ち着いて。
醒醒！,くつろいで。
去清洗一下。,リラックスして。
我们知道。,楽にしてください。
欢迎。,撃て！
谁赢了？,はい、チーズ。
为什么不？,にっこり笑って。
你跑。,乾杯！
往后退点。,動くな！
静静的，别动。,起きなさい！
我一无所知。,起きなさい。
把他铐上。,起きろ！
往前开。,さあ、行っといで。
走開！,捕まえた。
滾！,分かった！
趴下！,彼は走った。
滾！,彼が走った。
醒醒吧。,乗れよ。
做得好！,さあ乗って。
干的好！,抱きしめて。
抓住汤姆。,ぎゅーして。
抓住他。,分かってる。
玩得開心。,分かってます。
他来试试。,出発した
你就随了我的意吧。,負けた・・・。
趕快!,私、辞めます。
快点！,やめた。
我忘了。,１９歳です。
我放弃。,大丈夫ですよ。
我來付錢。,私は大丈夫です。
我很忙。,起きてるよ。
我冷。,聞きなさい。
我很好。,聞いて！
我吃飽了。,馬鹿な！
我生病了。,あり得ねぇー。
我病了。,とんでもない！
我个子高。,とんでもございません！
让我一个人呆会儿。,とんでもありません！
